target_names,direction1,direction2,direction3,direction4,direction5,direction6,direction7,direction8,left_zone,right_zone,upper_zone,down_zone,horizontal_w_to_b,horizontal_b_to_w,vertical_w_to_b,vertical_b_to_w,target
O,13.842975206611571,15.289256198347108,18.181818181818183,16.735537190082646,14.049586776859504,5.991735537190083,8.884297520661157,7.024793388429752,29.217791411042946,20.782208588957054,27.99079754601227,22.00920245398773,50.0,2.127659574468085,24.46808510638298,23.404255319148938,0
O,13.93939393939394,16.161616161616163,17.97979797979798,16.565656565656564,14.141414141414142,6.4646464646464645,8.282828282828282,6.4646464646464645,26.706484641638227,23.293515358361777,24.2320819112628,25.767918088737204,52.63157894736842,2.1052631578947367,23.157894736842103,22.105263157894736,0
O,14.25389755011136,16.48106904231626,18.040089086859687,16.70378619153675,14.476614699331849,6.23608017817372,7.795100222717149,6.01336302895323,27.834179357021995,22.165820642978,25.465313028764804,24.534686971235196,55.172413793103445,2.2988505747126435,21.839080459770113,20.689655172413794,0
O,14.578587699316628,16.173120728929383,17.767653758542142,16.173120728929383,13.667425968109338,5.694760820045558,8.428246013667426,7.517084282460137,26.976284584980238,23.023715415019762,24.50592885375494,25.49407114624506,54.32098765432099,2.4691358024691357,20.98765432098765,22.22222222222222,0
O,14.315352697095436,15.975103734439834,17.842323651452283,16.597510373443985,13.278008298755188,5.394190871369295,8.506224066390041,8.091286307053942,27.89915966386555,22.100840336134457,26.134453781512608,23.865546218487395,51.086956521739125,2.1739130434782608,20.652173913043477,26.08695652173913,0
O,13.402061855670102,15.257731958762886,17.938144329896907,16.70103092783505,13.81443298969072,6.597938144329897,9.072164948453608,7.216494845360824,26.491862567811935,23.508137432188065,24.050632911392405,25.949367088607595,48.387096774193544,2.150537634408602,25.806451612903224,23.655913978494624,0
O,13.107822410147993,15.221987315010571,17.970401691331926,16.701902748414376,14.16490486257928,7.18816067653277,9.090909090909092,6.553911205073996,26.992753623188406,23.007246376811594,25.090579710144926,24.909420289855074,48.35164835164836,2.197802197802198,27.472527472527474,21.978021978021978,0
O,13.664596273291925,16.35610766045549,18.012422360248447,15.734989648033126,13.871635610766047,7.246376811594203,8.902691511387165,6.211180124223603,27.320490367775832,22.679509632224168,24.080560420315237,25.919439579684763,49.46236559139785,2.150537634408602,24.731182795698924,23.655913978494624,0
O,14.609053497942387,16.666666666666668,18.106995884773664,15.226337448559672,12.962962962962964,5.761316872427984,9.053497942386832,7.613168724279836,27.655677655677653,22.344322344322343,23.168498168498168,26.83150183150183,48.93617021276596,2.127659574468085,20.21276595744681,28.72340425531915,0
O,14.741035856573705,15.936254980079681,17.92828685258964,16.135458167330675,13.147410358565736,4.9800796812749,8.764940239043824,8.366533864541832,26.56488549618321,23.435114503816795,23.51145038167939,26.48854961832061,53.26086956521739,2.1739130434782608,15.217391304347824,29.34782608695652,0
O,14.89841986455982,16.478555304740407,18.284424379232505,15.575620767494357,13.318284424379232,5.191873589164786,8.803611738148984,7.44920993227991,26.302521008403364,23.69747899159664,22.689075630252102,27.3109243697479,50.574712643678154,2.2988505747126435,19.54022988505747,27.586206896551722,0
O,14.953271028037383,17.05607476635514,17.757009345794394,16.588785046728972,13.551401869158878,5.140186915887851,7.4766355140186915,7.4766355140186915,26.970227670753065,23.029772329246935,23.642732049036777,26.357267950963223,56.09756097560975,2.4390243902439024,17.073170731707318,24.390243902439025,0
O,14.691943127962086,16.587677725118482,18.009478672985782,16.113744075829384,13.507109004739338,5.450236966824645,8.293838862559241,7.345971563981043,27.32342007434944,22.676579925650557,24.44237918215613,25.557620817843866,52.4390243902439,2.4390243902439024,19.51219512195122,25.609756097560975,0
O,14.316702819956616,16.268980477223426,18.004338394793926,16.052060737527114,13.449023861171367,5.856832971800434,8.676789587852495,7.375271149674621,26.638655462184875,23.36134453781513,23.613445378151262,26.38655462184874,50.56179775280899,2.247191011235955,21.348314606741575,25.842696629213485,0
O,15.254237288135593,16.707021791767556,18.159806295399516,15.49636803874092,12.832929782082324,4.600484261501211,8.716707021791768,8.232445520581114,26.320582877959925,23.67941712204007,23.132969034608376,26.86703096539162,50.61728395061728,2.4691358024691357,17.28395061728395,29.629629629629626,0
O,14.34878587196468,16.335540838852097,17.880794701986755,16.335540838852097,13.46578366445916,5.739514348785872,8.388520971302428,7.505518763796909,25.43402777777778,24.56597222222222,24.04513888888889,25.95486111111111,51.72413793103448,2.2988505747126435,20.689655172413794,25.287356321839077,0
O,14.617169373549883,16.009280742459396,18.329466357308583,15.777262180974477,13.45707656612529,5.336426914153132,9.048723897911833,7.424593967517401,27.10951526032316,22.89048473967684,24.775583482944345,25.224416517055655,49.411764705882355,2.3529411764705883,21.176470588235293,27.058823529411764,0
O,15.034168564920273,16.40091116173121,17.995444191343964,16.62870159453303,13.439635535307517,4.555808656036446,7.972665148063781,7.972665148063781,27.027027027027025,22.972972972972972,24.155405405405403,25.844594594594593,54.11764705882353,2.3529411764705883,17.647058823529413,25.88235294117647,0
O,15.95238095238095,17.142857142857142,18.095238095238095,15.238095238095237,12.142857142857142,3.571428571428571,8.571428571428571,9.285714285714285,26.221804511278194,23.778195488721803,23.590225563909772,26.409774436090224,51.21951219512195,2.4390243902439024,13.414634146341463,32.926829268292686,0
O,14.797136038186157,16.46778042959427,17.66109785202864,16.46778042959427,13.842482100238662,5.4892601431980905,7.875894988066825,7.398568019093078,26.69724770642202,23.30275229357798,23.30275229357798,26.69724770642202,56.410256410256416,2.5641025641025643,16.666666666666668,24.35897435897436,0
O,14.725274725274724,16.483516483516482,17.802197802197803,15.824175824175825,12.527472527472527,5.054945054945055,8.791208791208792,8.791208791208792,26.875,23.125,25.982142857142858,24.017857142857142,49.42528735632184,2.2988505747126435,18.39080459770115,29.885057471264368,0
O,14.823529411764707,16.235294117647058,18.11764705882353,16.705882352941178,13.882352941176471,4.9411764705882355,8.0,7.294117647058823,27.767527675276753,22.232472324723247,24.2619926199262,25.7380073800738,54.216867469879524,2.4096385542168677,19.27710843373494,24.096385542168676,0
O,14.69298245614035,16.44736842105263,17.982456140350877,16.44736842105263,13.596491228070175,5.263157894736842,8.114035087719298,7.456140350877193,26.04355716878403,23.95644283121597,24.682395644283122,25.317604355716878,53.409090909090914,2.272727272727273,19.31818181818182,25.000000000000004,0
O,14.622641509433963,16.50943396226415,17.92452830188679,16.9811320754717,14.150943396226415,5.4245283018867925,7.547169811320755,6.839622641509434,27.047619047619047,22.952380952380953,23.904761904761905,26.095238095238095,56.09756097560975,2.4390243902439024,19.51219512195122,21.95121951219512,0
O,14.44954128440367,16.51376146788991,17.660550458715598,16.055045871559635,13.761467889908257,6.192660550458716,8.256880733944955,7.110091743119266,27.434456928838955,22.565543071161052,23.50187265917603,26.49812734082397,55.696202531645575,2.5316455696202533,16.455696202531648,25.31645569620253,0
